编号,色泽,根蒂,敲声,纹理,脐部,触感,密度,含糖率,好瓜
1,0,0,0,0,0,1,0.697,0.46,是
2,1,0,1,0,0,1,0.774,0.376,是
3,1,0,0,0,0,1,0.634,0.264,是
4,0,0,1,0,0,1,0.608,0.318,是
5,2,0,0,0,0,1,0.556,0.215,是
6,0,1,0,0,1,0,0.403,0.237,是
7,1,1,0,1,1,0,0.481,0.149,是
8,1,1,0,0,1,1,0.437,0.211,是
9,1,1,1,1,1,1,0.666,0.091,否
10,0,2,2,0,2,0,0.243,0.267,否
11,2,2,2,2,2,1,0.245,0.057,否
12,2,0,0,2,2,0,0.343,0.099,否
13,0,1,0,1,0,1,0.639,0.161,否
14,2,1,1,1,0,1,0.657,0.198,否
15,1,1,0,0,1,0,0.36,0.37,否
16,2,0,0,2,2,1,0.593,0.042,否
17,0,0,1,1,1,1,0.719,0.103,否
